Station,Longitude,Latitude,Route
Halalpur Bus Stand,23.27326584,77.36399078,SR1
Lalghati,23.27306938,77.36846924,SR1
Vip Guest,23.27131844,77.37574005,SR1
Koh-E-Fiza,23.26911736,77.37727356,SR1
Collectorate,23.26358795,77.38312531,SR1
Sbi Chouraha,23.26187897,77.38874054,SR1
Royal Market,23.26150322,77.39205933,SR1
Peergate,23.2591362,77.39845276,SR1
Moti Masjid,23.25592232,77.39857483,SR1
Kamla Park,23.25196648,77.39789581,SR1
Polytechnic,23.24457741,77.39684296,SR1
Rang Mahal,23.24265099,77.39748383,SR1
Roshanpura,23.23756409,77.40115356,SR1
"New Market,Top & Town",23.2351284,77.40137482,SR1
Teen Shed,23.23191643,77.40145874,SR1
Mata Mandir,23.22461319,77.40226746,SR1
Mact Tiraha,23.22099304,77.40392303,SR1
Harsh Vardhan Nagar,23.22118187,77.40749359,SR1
Panchsheel Nagar,23.22072411,77.4103241,SR1
Patrakar Colony,23.21935081,77.41407776,SR1
Kolar Tiraha,23.21714592,77.41736603,SR1
Buddh Mandir,23.21393013,77.41918182,SR1
Chinar Woodland,23.21035194,77.41869354,SR1
Suyash Hospital,23.20840454,77.41809082,SR1
Deepak Socity,23.20735359,77.41794586,SR1
Nahar Puliya,23.20380783,77.41159058,SR1
Sarvadharma Colony,23.18905067,77.41722107,SR1
Mahabali Nagar,23.18140984,77.40851593,SR1
Beema Kunj,23.17947769,77.41843414,SR1
Nayapura Colony,23.17263985,77.41699219,SR1
Lalita Nagar,23.16539001,77.41527557,SR1
Nahar(Sanskar Gardan),23.16161156,77.41426849,SR1
Gainhu Kheda,23.15826225,77.4135437,SR1
Chinchli Bairagarh,23.1499958,77.41099548,SR1
Nadra Bus Stand,23.2652874,77.40531921,SR2
Sabji Mandi,23.26443863,77.40631866,SR2
Alpana Tiraha,23.26436806,77.41020203,SR2
Bharat Talkies,23.26047707,77.41085815,SR2
Bharat Talkies 2,23.25906372,77.41123962,SR2
Patra Pul,23.25801277,77.41442108,SR2
Barkhedi Rc,23.25583267,77.41832733,SR2
Upaj Mandi,23.25497627,77.41954803,SR2
Bogda Pul,23.2527523,77.42272949,SR2
Jinsi Tiraha,23.250103,77.42388916,SR2
Subhash R/Fatak,23.24654961,77.43169403,SR2
Sbi Lho,23.24397087,77.43269348,SR2
Post Office,23.23867226,77.43112183,SR2
D B Mall,23.23369026,77.43019104,SR2
Board Office (Milan),23.23129463,77.43256378,SR2
Jyoti Tlk. Top & Toun,23.23279381,77.4342804,SR2
Kasturwa Nagar,23.23284149,77.44184113,SR2
Isbt,23.22909546,77.44200134,SR2
Duth Deri,23.22394371,77.44197083,SR2
Habibganj R/Station,23.22126961,77.44203949,SR2
Habibganj Naka,23.21614647,77.44187164,SR2
Rrl,23.21052742,77.44392395,SR2
Narayan Nagar,23.20410919,77.44606018,SR2
University,23.1991787,77.44781494,SR2
Vidya Nagar,23.19544601,77.44924927,SR2
Nikhil Homes,23.1860981,77.45415497,SR2
Vrindavan Dawa,23.17489243,77.46015167,SR2
Jatkhedi,23.16836929,77.46434784,SR2
Misrod,23.16177368,77.46949005,SR2
Scope Collage,23.15298653,77.47598267,SR2
11 Miles,23.14868927,77.47901917,SR2
Fun City,23.1418457,77.48423004,SR2
Indus Town,23.13746643,77.48442078,SR2
Samardha,23.11799049,77.50205231,SR2
Nariyal Kheda I,23.28458023,77.39729309,SR3
Nariyal Kheda Ii,23.28339767,77.39651489,SR3
Miltri Gate,23.28057861,77.39465332,SR3
Tila Jamal Pura,23.28057861,77.39743805,SR3
