id,station,latitude,longitude,route,link
SR1-1,Halalpur Bus Stand,23.27326584,77.36399078,SR1,"https://www.google.com/maps/place/23.27326584,77.36399078"
SR1-2,Lalghati,23.27306938,77.36846924,SR1,"https://www.google.com/maps/place/23.27306938,77.36846924"
SR1-3,Vip Guest,23.27131844,77.37574005,SR1,"https://www.google.com/maps/place/23.27131844,77.37574005"
SR1-4,Koh-E-Fiza,23.26911736,77.37727356,SR1,"https://www.google.com/maps/place/23.26911736,77.37727356"
SR1-5,Collectorate,23.26358795,77.38312531,SR1,"https://www.google.com/maps/place/23.26358795,77.38312531"
SR1-6,Sbi Chouraha,23.26187897,77.38874054,SR1,"https://www.google.com/maps/place/23.26187897,77.38874054"
SR1-7,Royal Market,23.26150322,77.39205933,SR1,"https://www.google.com/maps/place/23.26150322,77.39205933"
SR1-8,Peergate,23.2591362,77.39845276,SR1,"https://www.google.com/maps/place/23.2591362,77.39845276"
SR1-9,Moti Masjid,23.25592232,77.39857483,SR1,"https://www.google.com/maps/place/23.25592232,77.39857483"
SR1-10,Kamla Park,23.25196648,77.39789581,SR1,"https://www.google.com/maps/place/23.25196648,77.39789581"
SR1-11,Polytechnic,23.24457741,77.39684296,SR1,"https://www.google.com/maps/place/23.24457741,77.39684296"
SR1-12,Rang Mahal,23.24265099,77.39748383,SR1,"https://www.google.com/maps/place/23.24265099,77.39748383"
SR1-13,Roshanpura,23.23756409,77.40115356,SR1,"https://www.google.com/maps/place/23.23756409,77.40115356"
SR1-14,"New Market,Top & Town",23.2351284,77.40137482,SR1,"https://www.google.com/maps/place/23.2351284,77.40137482"
SR1-15,Teen Shed,23.23191643,77.40145874,SR1,"https://www.google.com/maps/place/23.23191643,77.40145874"
SR1-16,Mata Mandir,23.22461319,77.40226746,SR1,"https://www.google.com/maps/place/23.22461319,77.40226746"
SR1-17,Mact Tiraha,23.22099304,77.40392303,SR1,"https://www.google.com/maps/place/23.22099304,77.40392303"
SR1-18,Harsh Vardhan Nagar,23.22118187,77.40749359,SR1,"https://www.google.com/maps/place/23.22118187,77.40749359"
SR1-19,Panchsheel Nagar,23.22072411,77.4103241,SR1,"https://www.google.com/maps/place/23.22072411,77.4103241"
SR1-20,Patrakar Colony,23.21935081,77.41407776,SR1,"https://www.google.com/maps/place/23.21935081,77.41407776"
SR1-21,Kolar Tiraha,23.21714592,77.41736603,SR1,"https://www.google.com/maps/place/23.21714592,77.41736603"
SR1-22,Buddh Mandir,23.21393013,77.41918182,SR1,"https://www.google.com/maps/place/23.21393013,77.41918182"
SR1-23,Chinar Woodland,23.21035194,77.41869354,SR1,"https://www.google.com/maps/place/23.21035194,77.41869354"
SR1-24,Suyash Hospital,23.20840454,77.41809082,SR1,"https://www.google.com/maps/place/23.20840454,77.41809082"
SR1-25,Deepak Socity,23.20735359,77.41794586,SR1,"https://www.google.com/maps/place/23.20735359,77.41794586"
SR1-26,Nahar Puliya,23.20380783,77.41159058,SR1,"https://www.google.com/maps/place/23.20380783,77.41159058"
SR1-27,Sarvadharma Colony,23.18905067,77.41722107,SR1,"https://www.google.com/maps/place/23.18905067,77.41722107"
SR1-28,Mahabali Nagar,23.18140984,77.40851593,SR1,"https://www.google.com/maps/place/23.18140984,77.40851593"
SR1-29,Beema Kunj,23.17947769,77.41843414,SR1,"https://www.google.com/maps/place/23.17947769,77.41843414"
SR1-30,Nayapura Colony,23.17263985,77.41699219,SR1,"https://www.google.com/maps/place/23.17263985,77.41699219"
SR1-31,Lalita Nagar,23.16539001,77.41527557,SR1,"https://www.google.com/maps/place/23.16539001,77.41527557"
SR1-32,Nahar(Sanskar Gardan),23.16161156,77.41426849,SR1,"https://www.google.com/maps/place/23.16161156,77.41426849"
SR1-33,Gainhu Kheda,23.15826225,77.4135437,SR1,"https://www.google.com/maps/place/23.15826225,77.4135437"
SR1-34,Chinchli Bairagarh,23.1499958,77.41099548,SR1,"https://www.google.com/maps/place/23.1499958,77.41099548"
SR2-1,Nadra Bus Stand,23.2652874,77.40531921,SR2,"https://www.google.com/maps/place/23.2652874,77.40531921"
SR2-2,Sabji Mandi,23.26443863,77.40631866,SR2,"https://www.google.com/maps/place/23.26443863,77.40631866"
SR2-3,Alpana Tiraha,23.26436806,77.41020203,SR2,"https://www.google.com/maps/place/23.26436806,77.41020203"
SR2-4,Bharat Talkies,23.26047707,77.41085815,SR2,"https://www.google.com/maps/place/23.26047707,77.41085815"
SR2-5,Bharat Talkies 2,23.25906372,77.41123962,SR2,"https://www.google.com/maps/place/23.25906372,77.41123962"
SR2-6,Patra Pul,23.25801277,77.41442108,SR2,"https://www.google.com/maps/place/23.25801277,77.41442108"
SR2-7,Barkhedi Rc,23.25583267,77.41832733,SR2,"https://www.google.com/maps/place/23.25583267,77.41832733"
SR2-8,Upaj Mandi,23.25497627,77.41954803,SR2,"https://www.google.com/maps/place/23.25497627,77.41954803"
SR2-9,Bogda Pul,23.2527523,77.42272949,SR2,"https://www.google.com/maps/place/23.2527523,77.42272949"
SR2-10,Jinsi Tiraha,23.250103,77.42388916,SR2,"https://www.google.com/maps/place/23.250103,77.42388916"
SR2-11,Subhash R/Fatak,23.24654961,77.43169403,SR2,"https://www.google.com/maps/place/23.24654961,77.43169403"
SR2-12,Sbi Lho,23.24397087,77.43269348,SR2,"https://www.google.com/maps/place/23.24397087,77.43269348"
SR2-13,Post Office,23.23867226,77.43112183,SR2,"https://www.google.com/maps/place/23.23867226,77.43112183"
